Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,016001,1994,07,5.4,N
IDCJAC0001,016001,1994,08,1.4,Y
IDCJAC0001,016001,1994,09,3.8,Y
IDCJAC0001,016001,1994,10,0.8,Y
IDCJAC0001,016001,1994,11,0.8,Y
IDCJAC0001,016001,1994,12,6.2,Y
IDCJAC0001,016001,1995,01,15.6,Y
IDCJAC0001,016001,1995,02,14.0,Y
IDCJAC0001,016001,1995,03,0.0,Y
IDCJAC0001,016001,1995,04,6.0,Y
IDCJAC0001,016001,1995,05,21.0,Y
IDCJAC0001,016001,1995,06,36.8,Y
IDCJAC0001,016001,1995,07,15.8,Y
IDCJAC0001,016001,1995,08,2.2,Y
IDCJAC0001,016001,1995,09,9.6,Y
IDCJAC0001,016001,1995,10,24.8,Y
IDCJAC0001,016001,1995,11,11.2,Y
IDCJAC0001,016001,1995,12,10.6,Y
IDCJAC0001,016001,1996,01,9.6,Y
IDCJAC0001,016001,1996,02,0.0,Y
IDCJAC0001,016001,1996,03,4.4,Y
IDCJAC0001,016001,1996,04,0.0,Y
IDCJAC0001,016001,1996,05,6.4,Y
IDCJAC0001,016001,1996,06,18.0,Y
IDCJAC0001,016001,1996,07,31.8,Y
IDCJAC0001,016001,1996,08,11.2,Y
IDCJAC0001,016001,1996,09,21.2,Y
IDCJAC0001,016001,1996,10,2.8,Y
